Gene,Fold Change
Glcci1,1.8355
Ptger2,-1.8353
Ptchd4,1.8345
Cdh10,1.8299
Mm.453362,-1.8297
Cacnb3,1.8294
Btbd9,-1.8283
Slc35f2,-1.8277
Cbx7,1.8276
Cenpp,-1.8251
Rps6ka5,-1.8248
Nlk,1.8239
Trip10,1.8239
AI593442,1.822
Tmem132e,1.8219
Kcnb1,1.8215
Cdh8,-1.8209
Gria1,-1.8203
Cdh8,-1.8202
Grm8,1.8194
Nlk,1.8191
Rasd2,1.8189
AW123227,1.8187
Adamts1,-1.8187
Dleu7,-1.8184
Ablim3,-1.818
1459497_at,1.8173
BB305753,1.8173
Klhl4,-1.8172
6430571L13Rik,1.8168
Iqsec3,1.8157
C030011L09Rik,1.8149
Kcnh3,1.8144
Dpy19l3,1.8138
Hcfc2,-1.8117
Rtl8a,1.8117
Lca5l,1.8089
Lrrtm3,1.8086
Myh3,-1.8085
1700080G18Rik,1.8082
Tnfrsf25,-1.8076
Kazn,1.8069
Card10,1.8057
Tgfbr1,-1.8056
Cacng3,1.8053
Cntn4,-1.8045
Rnf128,-1.8041
Atp2b2,1.802
Cd99,1.8002
Rph3a,1.7997
Cotl1,-1.7997
Kcnv1,1.7994
Lin7a,1.7992
Rtkn,1.7989
Gad1,-1.7985
Hspa12a,1.7985
Ubxn2b,-1.7985
Zfhx2,-1.7981
BB460243,-1.7978
1456960_at,-1.7977
BB451702,1.7973
Scg5,1.7972
1446391_at,-1.7968
Tnnc1,-1.7964
Onecut2,-1.7962
Racgap1,-1.7961
Peak1,1.796
Tle1,-1.7958
Rasgrf1,-1.7957
Ddn,-1.7956
Grip1,-1.7951
Msrb2,-1.7942
Dclk1,-1.7942
Gm19773,1.7939
Stat5b,1.793
C530008M17Rik,-1.7918
Pdgfc,-1.7916
3-Sep,-1.7905
Ighm,1.7887
Tmem164,1.7887
Reps2,-1.7884
Asic4,1.788
Sytl4,1.7877
Sidt1,-1.7875
Parm1,-1.7871
Meig1,-1.7868
Fstl5,-1.7867
Cyp11a1,1.7867
Mef2a,-1.786
Pcsk2,1.7854
Ier5,1.7851
Zfhx2os,1.7851
Epb41,1.7847
1440053_at,-1.7843
Adamts20,-1.7839
Tmem250-ps,1.7838
