Gene,Fold Change
Phf7,-1.5818
Oxtr,1.5816
Stpg1,-1.5816
Trir,1.5809
Npnt,-1.5797
Ar,-1.5797
Slc7a11,-1.5788
Itga8,-1.5786
Rtn4rl1,1.5781
Gm5796,-1.578
Sema4a,1.5771
Lmo2,-1.5768
Adamtsl4,1.5765
Ciart,-1.5764
Nefh,1.5753
1190002N15Rik,-1.5749
Magi1,-1.5747
Casp7,-1.5734
Gsg1l,1.573
Olfm4,1.5727
Chst12,-1.5726
Ache,1.5724
Masp1,1.5719
Hfm1,-1.5719
Efhc2,-1.5704
Cygb,-1.5701
Carmil1,-1.5699
Srxn1,1.5687
2810468N07Rik,-1.5685
Mrc2,-1.568
Klhdc8a,-1.5672
Mest,1.5669
Klhl40,1.5651
Samsn1,1.5648
Cthrc1,1.5647
Ltbp3,1.5643
Smarca5-ps,1.5643
Foxq1,-1.5643
1110032F04Rik,1.5637
Dll1,-1.5636
Wwtr1,1.5625
Cd9,1.5618
Igsf9b,1.5617
E2f1,1.5615
Dhx33,-1.5614
1700001L05Rik,-1.5614
Fancf,-1.561
Itih3,1.5573
2210408F21Rik,1.557
Ankrd9,1.5564
Nt5dc3,1.5558
Tipin,-1.5555
Gm3500,-1.5544
Rhov,1.5543
Sel1l3,1.553
Epb41l4b,1.5523
Il15ra,1.552
Kcnk2,-1.5519
Dubr,1.5515
Rab27a,-1.5498
Selenbp1,-1.5489
Gm1604b,-1.5486
Zfp579,1.548
Spock3,1.5472
Npas1,1.5468
Zfp395,-1.5468
Zfp189,-1.5455
9830166K06Rik,-1.5449
Ptgr1,-1.5439
4930429B21Rik,1.5438
Tpt1,1.5434
Gm3604,-1.5432
Alpl,-1.5421
C3ar1,1.542
Psrc1,-1.5418
Tmem254a,1.541
Aven,-1.5408
Rasgrf1,-1.5404
Kif11,1.5398
Nr2f6,1.5395
Kctd7,1.5392
Gm9899,-1.5389
Grem2,1.5389
Rabgap1l,1.5389
Galntl6,1.5387
Nrep,1.5384
Me1,1.538
Fzd7,1.5367
Gm20754,-1.5364
Heg1,-1.5363
Kcnj11,-1.5357
Nkx6-2,1.5353
Zmat3,1.5344
Gng7,-1.5342
Kcnh7,-1.534
Pald1,-1.5336
Lrrtm4,-1.5332
Arid3b,1.5306
Syne3,-1.5303
L3mbtl3,1.5297
Fbln1,-1.5282
Tmem151b,1.5276
Tspan33,-1.5276
Galnt13,-1.5269
Ctdspl,-1.5266
Rpusd3,-1.5265
St8sia5,1.5263
Nt5dc2,-1.5251
Tdrp,1.525
Cntn4,1.5247
Grid1,-1.524
Gjc2,1.5237
Adamts17,-1.5233
Micalcl,-1.5229
Mapk4,1.5227
Prss12,-1.5227
Susd1,-1.5223
Tle3,1.5216
Pgp,1.5208
Slc6a15,-1.5202
Fam210b,1.5197
Ndufab1,1.5195
Tmem258,-1.5185
Ifit1bl1,1.5171
Ky,-1.517
Slc7a4,1.5164
Cntnap5c,1.5155
Mfsd13b,-1.5153
Plxna1,1.5137
Wdr31,-1.5131
Egr4,1.5127
Fbxl15,1.5121
Mapk6,1.5119
Pnpla3,-1.5118
Scn3b,-1.5112
Zdhhc22,1.5111
Sdf2l1,1.5107
Acvr2a,-1.5096
Cep126,1.5095
Lypd1,-1.5093
Adamts10,-1.5092
Lacc1,1.5087
Aif1l,-1.5066
Rassf5,1.5063
Stra6,-1.5061
Pak7,1.5059
Efr3b,1.5057
Cbfa2t3,1.5057
Kcng2,-1.5056
Rapgef5,-1.505
Chgb,1.5046
Nedd9,1.5045
Slc13a5,-1.5043
Cacna1h,-1.5032
Ovgp1,-1.5031
Plce1,1.5027
1110008P14Rik,1.5014
Synj2,1.5011
C1qtnf4,1.501
Ccna2,1.5006
Hmgcs1,1.4998
Phospho1,1.4996
Il1rap,-1.4994
Igflr1,-1.4976
Etv4,-1.4968
Best3,1.4963
Map3k4,-1.4961
Calhm2,-1.4959
